ID	hemi	name	name_full	level 0 / Lobe	level 1 / ROI	level 1 / ROI (abbr)	Modified Cytoarchitectonic
237	rh	PHG.cm	parahippocampal gyrus, caudomedial part	Temporal Lobe	Parahippocampal Gyrus	PHG	TH
238	rh	PHG.cl	parahippocampal gyrus, caudolateral part	Temporal Lobe	Parahippocampal Gyrus	PHG	36O
239	rh	TP.vr	temporal pole, ventrorostral part	Temporal Lobe	Temporal Pole	TP	TP
240	rh	TP.mr	temporal pole, mediorostral part	Temporal Lobe	Temporal Pole	TP	TP
241	rh	TP.lr	temporal pole, laterorostral part	Temporal Lobe	Temporal Pole	TP	TP
242	rh	TP.dr	temporal pole, dorsorostral part 	Temporal Lobe	Temporal Pole	TP	TP
243	rh	TP.cEx	temporal pole, caudoexternal  part	Temporal Lobe	Temporal Pole	TP	TP
244	rh	TP.cIn	temporal pole, caudointernal  part	Temporal Lobe	Temporal Pole	TP	TP
245	rh	V1.cm	V1, caudomedial part	Occipital Lobe	V1	V1	V1
246	rh	V1.dl	V1, dorsolateral part	Occipital Lobe	V1	V1	V1
247	rh	V1.vl	V1,  ventrolateral part	Occipital Lobe	V1	V1	V1
248	rh	V1.mvi	V1, medial ventrointermediate part	Occipital Lobe	V1	V1	V1
249	rh	V1.mdi	V1, medial dorsointermediate part	Occipital Lobe	V1	V1	V1
250	rh	V1.rm	V1, rostromedial part	Occipital Lobe	V1	V1	V1
251	rh	V2.l	V2, lateral part	Occipital Lobe	V2	V2	V2
252	rh	V2.d	V2, dorsal part	Occipital Lobe	V2	V2	V2
253	rh	V2.v	V2, ventral part	Occipital Lobe	V2	V2	V2
254	rh	V2.dm	V2, dorsomedial part	Occipital Lobe	V2	V2	V2
255	rh	V2.vm	V2, ventromedial part	Occipital Lobe	V2	V2	V2
256	rh	VMO.l	ventromedial occipital cortex, lateral part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  dorsal part
257	rh	VMO.i	ventromedial occipital cortex, intermediate part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  ventral part
258	rh	VMO.m	ventromedial occipital cortex, medial part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  medial part
259	rh	INS.vr	insula cortex, ventrorostral part	Insula Cortex	Insula Cortex	INS	Ipa
260	rh	INS.dr	insula cortex, dorsorostral part	Insula Cortex	Insula Cortex	INS	Ia
261	rh	INS.ri	insula cortex, rostrointermediate part	Insula Cortex	Insula Cortex	INS	Id
262	rh	INS.v	insula cortex, ventral part	Insula Cortex	Insula Cortex	INS	Ip/Id
263	rh	INS.ci	insula cortex, caudointermediate  part	Insula Cortex	Insula Cortex	INS	Ig, rostral part
264	rh	INS.c	insula cortex, caudal part	Insula Cortex	Insula Cortex	INS	Ig, caudal part
265	rh	CG.vr	cingulate cortex, ventrorostral  part	Limbic Lobe	Cingulate Cortex	CG	25
266	rh	CG.ir	cingulate cortex,  intermediorostral part	Limbic Lobe	Cingulate Cortex	CG	32
267	rh	CG.dr	cingulate cortex, dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c, rostral part
268	rh	CG.idr	cingulate cortex, intermediate dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c
269	rh	CG.idc	cingulate cortex, intermediate dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23c/24d
270	rh	CG.ivr	cingulate cortex, intermediate ventrorostral part	Limbic Lobe	Cingulate Cortex	CG	24a/24b
271	rh	CG.ivc	cingulate cortex, intermediate ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, rostral part
272	rh	CG.dc	cingulate cortex,  dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, caudal part
273	rh	CG.vc	cingulate cortex, ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23
274	rh	CG.RSr	cingulate cortex, retrosplenial rostral part	Limbic Lobe	Cingulate Cortex	CG	29/30, rostral part
275	rh	CG.RSi	cingulate cortex, retrosplenial intermediate part	Limbic Lobe	Cingulate Cortex	CG	29/30, intermediate part
276	rh	CG.RSc	cingulate cortex, retrosplenial, caudal part	Limbic Lobe	Cingulate Cortex	CG	29/30, caudal part
277	rh	Acb.C	accumbens nucleus, core part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbC
278	rh	Acb.Sh	accumbens nucleus, shell part	Subcortex Nucleus	Accumbens nucleus	Acb 	AcbSh
279	rh	Amyg.cl	amygdaloid nucleus, caudolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
280	rh	Amyg.rl	amygdaloid nucleus, rostrolateral part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
281	rh	Amyg.m	amygdaloid nucleus, medial part	Subcortex Nucleus	Amygdaloid nucleus	Amyg	Amyg
282	rh	Cd.Hv	caudate nucleus, head ventral part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
283	rh	Cd.B	caudate nucleus, body part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
284	rh	Cd.Hi	caudate nucleus, head intermediate part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
285	rh	Cd.Hd	caudate nucleus,  head  dorsal part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
286	rh	Cd.T	caudate nucleus, tail part	Subcortex Nucleus	Caudate nucleus	Cd	Cd
287	rh	HF.c	hippocampal formation, caudal part	Subcortex Nucleus	Hippocampus formation	HF	HF
288	rh	HF.i	hippocampal formation, intermediate part	Subcortex Nucleus	Hippocampus formation	HF	HF
289	rh	HF.r	hippocampal formation, rostral part	Subcortex Nucleus	Hippocampus formation	HF	HF
290	rh	Hy.cl	hypothalamus, caudolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
291	rh	Hy.rl	hypothalamus, rostrolateral part	Subcortex Nucleus	Hypothalamus	Hy	Hy
292	rh	Hy.m	hypothalamus, medial part	Subcortex Nucleus	Hypothalamus	Hy	Hy
293	rh	GP.v	globus pallidus, ventral part	Subcortex Nucleus	globus pallidus	GP	GP
294	rh	GP.d	globus pallidus, dorsal part	Subcortex Nucleus	globus pallidus	GP	GP
295	rh	Pu.r	putamen, rostral part	Subcortex Nucleus	Putamen	Pu	Pu
296	rh	Pu.v	putamen, ventral part	Subcortex Nucleus	Putamen	Pu	Pu
297	rh	Pu.c	putamen, caudal part	Subcortex Nucleus	Putamen	Pu	Pu
298	rh	Tha.rv	thalamus, rostroventral part	Subcortex Nucleus	thalamus	Tha	Tha
299	rh	Tha.c	thalamus, caudal part	Subcortex Nucleus	thalamus	Tha	Tha
300	rh	Tha.ld	thalamus, laterodorsal part	Subcortex Nucleus	thalamus	Tha	Tha
301	rh	Tha.l	thalamus, lateral part	Subcortex Nucleus	thalamus	Tha	Tha
302	rh	Tha.m	thalamus, medial part	Subcortex Nucleus	thalamus	Tha	Tha
303	rh	Tha.Sh	thalamus, shell part	Subcortex Nucleus	thalamus	Tha	Tha
304	rh	Tha.cv	thalamus, caudoventral part	Subcortex Nucleus	thalamus	Tha	Tha
